Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Elevated errors rates in Assistants API and ChatGPT,https://status.openai.com/incidents/8kb29fwgbp25,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This issue has now been resolved. We apologize for any inconvenience this may have caused."", ""Update_Timestamp"": ""Posted 3 days ago. Aug 28, 2024 - 13:36 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has now been identified and implemented. We are seeing error rates drop significantly, and will continue monitoring the fix."", ""Update_Timestamp"": ""Posted 3 days ago. Aug 28, 2024 - 12:50 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 3 days ago. Aug 28, 2024 - 12:01 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating elevated error rates in our Assistants API and ChatGPT offerings."", ""Update_Timestamp"": ""Posted 3 days ago. Aug 28, 2024 - 11:16 PDT""}]",This incident affected: API and ChatGPT.
Elevated error rates for ChatGPT,https://status.openai.com/incidents/frbqbb921940,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 8:01AM to 8:39AM PT, users encountered higher error rates on ChatGPT. This issue is now resolved. Thank you for your patience."", ""Update_Timestamp"": ""Posted 3 days ago. Aug 28, 2024 - 10:57 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 3 days ago. Aug 28, 2024 - 08:44 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating elevated error rates on ChatGPT."", ""Update_Timestamp"": ""Posted 3 days ago. Aug 28, 2024 - 08:19 PDT""}]",This incident affected: ChatGPT.
Elevated error rates for gpt-4o-mini-2024-07-18 fine-tuned models,https://status.openai.com/incidents/83ywkwsc4tk8,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This issue has now been resolved. Thank you for your patience."", ""Update_Timestamp"": ""Posted 4 days ago. Aug 27, 2024 - 14:14 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been deployed and error rates have dropped to ~0%"", ""Update_Timestamp"": ""Posted 4 days ago. Aug 27, 2024 - 12:34 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are experiencing elevated error rates for sampling requests to gpt-4o-2024-07-18 fine-tuned models."", ""Update_Timestamp"": ""Posted 4 days ago. Aug 27, 2024 - 12:27 PDT""}]",This incident affected: API.
Increased conversation latency in ChatGPT,https://status.openai.com/incidents/4mvhdw8bmz8n,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Today, between 12:51AM - 12:51PM PT, conversations on ChatGPT experienced increased latency. This issue is now resolved."", ""Update_Timestamp"": ""Posted 4 days ago. Aug 26, 2024 - 20:27 PDT""}]",This incident affected: ChatGPT.
Authentication Issues on ChatGPT and the API Platform,https://status.openai.com/incidents/sz5ltf8r0d7p,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 9:15am and 1:15pm PT, we saw an increase of authentication issues affecting logins to ChatGPT and the API Platform. This is now resolved."", ""Update_Timestamp"": ""Posted 10 days ago. Aug 21, 2024 - 13:35 PDT""}]",This incident affected: API and ChatGPT.
Elevated error rate impacting Assistants API,https://status.openai.com/incidents/0mxbfltxlnmh,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 10:35am - 10:53am PT, Assistants API experienced elevated error rates. This issue is resolved."", ""Update_Timestamp"": ""Posted 10 days ago. Aug 21, 2024 - 11:00 PDT""}]",This incident affected: API.
Elevated errors impacting logins to ChatGPT and the API Platform,https://status.openai.com/incidents/k59vpk7p41p5,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""From 9:14 AM to 9:35 AM PT, users experienced increased error rates while trying to log into ChatGPT and the API Platform due to an outage from a third-party authentication provider. This issue has now been resolved."", ""Update_Timestamp"": ""Posted 10 days ago. Aug 21, 2024 - 10:02 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are investigating an issue impacting logins to ChatGPT and the API Platform."", ""Update_Timestamp"": ""Posted 10 days ago. Aug 21, 2024 - 09:27 PDT""}]","This incident affected: API, ChatGPT, Labs, and Playground."
Elevated errors impacting logins to ChatGPT and the API Platform,https://status.openai.com/incidents/q1v975w73pm7,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 5:48pm and 6:04pm PT, users experienced elevated error rates when attempting to log into ChatGPT and the API Platform due to an outage from a third-party auth provider. This issue is now resolved."", ""Update_Timestamp"": ""Posted 11 days ago. Aug 20, 2024 - 18:42 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""This has been mitigated and logins are operational on both ChatGPT and the API Platform."", ""Update_Timestamp"": ""Posted 11 days ago. Aug 20, 2024 - 18:34 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified an issue impacting logins to ChatGPT and the API Platform."", ""Update_Timestamp"": ""Posted 11 days ago. Aug 20, 2024 - 18:04 PDT""}]",This incident affected: ChatGPT.
File uploads returning error messages,https://status.openai.com/incidents/433mh2zvfmww,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""File uploads should be working as expected. This issue is resolved."", ""Update_Timestamp"": ""Posted 12 days ago. Aug 19, 2024 - 15:02 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""The engineering team has made a change to alleviate the file uploads process. File uploads should be working as expected. Engineers are monitoring the change."", ""Update_Timestamp"": ""Posted 12 days ago. Aug 19, 2024 - 14:32 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 12 days ago. Aug 19, 2024 - 13:04 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate reports that file uploads in both ChatGPT and our API products are returning errors for customers."", ""Update_Timestamp"": ""Posted 12 days ago. Aug 19, 2024 - 12:28 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating reports that certain file uploads are returning error messages for customers."", ""Update_Timestamp"": ""Posted 12 days ago. Aug 19, 2024 - 11:51 PDT""}]",This incident affected: API and ChatGPT.
Elevated error rates for ChatGPT and Platform API,https://status.openai.com/incidents/s9d5cv5jcy7x,#e86c09,impact-major,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""On August 16, 2024 from 11:38 AM to 1:16 PM PT, a significant issue impacted the reliability of the OpenAI primary API, resulting in degraded service for users. This incident led to reduced success rates for ChatGPT conversations and affected login and account creation processes. The incident occurred in two waves, lasting 44 and 15 minutes respectively.\n\u200c\nThe root cause was a combination of factors. A scheduled maintenance and an upgrade to the ingress of the OpenAI user-facing clusters introduced a networking control plane regression. This manifested itself in a short-lived data plane outage. As a result of the momentary loss of connectivity, a set of services became unhealthy and were automatically restarted. The restarts, however, took much longer than expected as the services starting up overwhelmed a backend persistence store with a heavy first-start query. The backend persistence store required additional time to catch up and recover.\n\u200c\nAs part of the incident response, we have already implemented the following measures:\n\u200c\nWe have mitigated the networking control plane regression, and validated that control plane restarts do not interfere with the clusters' data plane\nWe implemented software changes to improve services' start time and remove first-start query alleviating pressure on the persistence layer and speeding up start and restart of services.\nDeployed configuration changes to optimize networking control plane's effect on clusters ability to handle traffic\nRemoved the expensive database query from critical startup paths\nImplemented additional monitoring and alerting for networking control-plane related issues\n\u200c\nAdditionally, we will be implementing the following changes to prevent future incidents altogether:\n\u200c\nWe are introducing staged rollouts for infrastructure changes with longer soak time to ensure regressions are caught as early as possible and affect as few systems and users as possible.\nWe are auditing our systems for other slow queries that may affect service start time.\n\u200c\nWe are continuing to improve our infrastructure to ensure greater resilience and faster recovery in the event of future incidents.\n\u200c\nWe know that extended API outages affect our customers\u2019 products and business, and outages of this magnitude are particularly damaging. While we came up short here, we are committed to preventing such incidents in the future and improving our service reliability."", ""Update_Timestamp"": ""Posted 8 days ago. Aug 23, 2024 - 14:27 PDT""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""From 11:38am PT to 12:33pm PT and then from 1:02pm PT to 1:16pm PT, some users saw elevated errors across ChatGPT and Platform API services.\n\nEngineers have now completed a series of updates to ensure this issue doesn't recur.\n\nChatGPT and Platform API services are fully operational. This issue has been fully resolved."", ""Update_Timestamp"": ""Posted 15 days ago. Aug 16, 2024 - 17:35 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Engineers are continuing to make updates to ensure the issue does not reoccur. No impact is expected to ChatGPT and API services."", ""Update_Timestamp"": ""Posted 15 days ago. Aug 16, 2024 - 15:56 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""ChatGPT and API services continue to be operational. Engineers are making some additional updates to ensure the issue does not reoccur."", ""Update_Timestamp"": ""Posted 15 days ago. Aug 16, 2024 - 14:21 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Engineers have taken measures to mitigate the elevated errors and are monitoring for additional changes."", ""Update_Timestamp"": ""Posted 15 days ago. Aug 16, 2024 - 12:28 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 15 days ago. Aug 16, 2024 - 11:54 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating elevated error rates on ChatGPT and Platform API."", ""Update_Timestamp"": ""Posted 15 days ago. Aug 16, 2024 - 11:53 PDT""}]",This incident affected: API and ChatGPT.
Elevated error rates for ChatGPT,https://status.openai.com/incidents/39dpym8fydrd,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""All systems should now be functioning normally."", ""Update_Timestamp"": ""Posted 16 days ago. Aug 15, 2024 - 11:37 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""The rate of errors on ChatGPT has decreased. We are continuing to investigate and mitigate the underlying issue."", ""Update_Timestamp"": ""Posted 16 days ago. Aug 15, 2024 - 09:52 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We're continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 16 days ago. Aug 15, 2024 - 09:21 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating elevated error rates on ChatGPT."", ""Update_Timestamp"": ""Posted 16 days ago. Aug 15, 2024 - 08:59 PDT""}]",This incident affected: ChatGPT.
Elevated error rates for the Assistants API,https://status.openai.com/incidents/26jngpxh098l,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 8:40AM and 9:23AM PDT, all requests to the Assistants API were failing. Assistants in the OpenAI Playground were also impacted. This issue is now resolved."", ""Update_Timestamp"": ""Posted 16 days ago. Aug 15, 2024 - 09:48 PDT""}]",This incident affected: API and Playground.
