Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Some Batch API Calls Are Failing,https://status.openai.com/incidents/qr0k0p729t5k,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 31, 2024 - 18:05 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 3 months ago. May 31, 2024 - 17:11 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""Batch API requests that include a float parameter are failing with an Error 400 Bad Request. Engineers have identified the issue and are working on a resolution."", ""Update_Timestamp"": ""Posted 3 months ago. May 30, 2024 - 22:00 PDT""}]",This incident affected: API.
Some users couldn't access ChatGPT webpage,https://status.openai.com/incidents/65phm857w1q4,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 11:36am and 1:06pm PDT, some users navigating to chatgpt.com couldn't access the application. Engineers have fully resolved a bad deploy causing this regression. Users should be able to access chatgpt.com as expected."", ""Update_Timestamp"": ""Posted 3 months ago. May 31, 2024 - 10:30 PDT""}]",
Elevated errors on Images API,https://status.openai.com/incidents/08ldcycb0kl9,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 30, 2024 - 11:30 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 30, 2024 - 10:57 PDT""}]",This incident affected: API.
Some customers cannot message support,https://status.openai.com/incidents/wjwrlkrbvg5b,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 8:04 AM PT and 10:18 am PT today, some customers might have had trouble contacting OpenAI support through the help center. This issue has been resolved. OpenAI services including the API and ChatGPT were unaffected."", ""Update_Timestamp"": ""Posted 3 months ago. May 29, 2024 - 10:28 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring."", ""Update_Timestamp"": ""Posted 3 months ago. May 29, 2024 - 09:34 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We're still seeing some impact to our support systems. As a temporary solution, customers looking to reach out to OpenAI Support can email support@openai.com."", ""Update_Timestamp"": ""Posted 3 months ago. May 29, 2024 - 08:40 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""Some customers cannot reach support services. We expect the situation to be remedied shortly."", ""Update_Timestamp"": ""Posted 3 months ago. May 29, 2024 - 08:24 PDT""}]",
ChatGPT Not Loading for Some Users,https://status.openai.com/incidents/4g07kxgj9y9q,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 11:18 AM PT and 1:10 PM PT today, we experienced an issue that impacted a subset of ChatGPT users who had not previously visited chatgpt.com. This resulted in them being unable to load ChatGPT. Our team identified and addressed the issue. All services are now operating normally. This incident is now resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 24, 2024 - 14:04 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We identified the cause of the issue, and rolled back. Previously impacted users should be able to refresh their pages to successfully use ChatGPT. We are continuing to monitor the results."", ""Update_Timestamp"": ""Posted 3 months ago. May 24, 2024 - 13:21 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're currently investigating an issue with chatgpt.com incorrectly redirecting to chat.openai.com, which fails to load."", ""Update_Timestamp"": ""Posted 3 months ago. May 24, 2024 - 12:45 PDT""}]",This incident affected: ChatGPT.
Elevated API and ChatGPT Latency and Error Rate,https://status.openai.com/incidents/9gm58mclcmst,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 3:14 AM PT and 4:16 PM PT today, we experienced a service disruption affecting API and ChatGPT users, resulting in increased latency and error rates. Our team identified and addressed the issue. All services are now operating normally. This incident is now resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 23, 2024 - 17:02 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified the issue causing the increased latency and error rates. We are currently in the process of implementing a fix."", ""Update_Timestamp"": ""Posted 3 months ago. May 23, 2024 - 16:29 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're currently investigating an elevated level of errors affecting API and ChatGPT users."", ""Update_Timestamp"": ""Posted 3 months ago. May 23, 2024 - 15:34 PDT""}]",This incident affected: API and ChatGPT.
ChatGPT's ability to search the internet is being affected,https://status.openai.com/incidents/kg1szc9qhk4k,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between around 10:10 PM PT yesterday and 6:50 AM PT today, we experienced a partial outage affecting ChatGPT\u2019s web-browsing capabilities due to Bing being unavailable. The issue is now resolved, and all services are operating normally."", ""Update_Timestamp"": ""Posted 3 months ago. May 23, 2024 - 07:40 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 22, 2024 - 23:31 PDT""}]",This incident affected: ChatGPT.
Elevated ChatGPT Error Rate for Paid Users,https://status.openai.com/incidents/q2tv86g0s32g,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 11:50 AM PT and 12:04 PM PT today, and again from 12:11 PM PT to 12:12 PM PT, we experienced a service disruption affecting ChatGPT paid users, resulting in higher-than-usual error rates and delays. Our team identified and addressed the issue. All services are now operating normally. This incident is now resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 22, 2024 - 11:50 PDT""}]",
Elevated error rate impacting ChatGPT,https://status.openai.com/incidents/pbmztw8m1xtw,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 6:34 AM PT and 8:40 AM PT today, we experienced a service disruption affecting ChatGPT users, resulting in higher-than-usual error rates and delays. Our team identified and addressed the issue by increasing system capacity. All services are now operating normally. This incident is now resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 22, 2024 - 09:05 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 3 months ago. May 22, 2024 - 08:42 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We're experiencing an elevated level of errors affecting ChatGPT and are currently looking into the issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 22, 2024 - 07:01 PDT""}]",This incident affected: ChatGPT.
Partial outage for GPT-4o free users,https://status.openai.com/incidents/mdbx834gwswg,#e86c09,impact-major,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""On May 21, 2024 from 11:25 am PT  to 12:26 pm PT a large portion of requests to ChatGPT gpt-4o free tier were failing with 5xx status codes.\n\u200c\nAt 11:30 am PT, engineers noticed that the configured routing information for gpt-4o had no backing services anymore and took immediate action to reapply the expected configuration to the system. First, rate limits were decreased for free tier traffic to prevent overwhelming the few instances that would be backing gpt-4o. Traffic was slowly dialed back up as the system performing re-configuration slowly added more and more of the backing services to the routing configuration. Due to the nature of the systems, this configuration process ramps up traffic in a staged manner and takes several minutes in between steps to configure more capacity for a service, hence the large length of the incident relative the time to execution of a mitigation.\n\u200c\nThe root cause was later determined to be a code bug in a new code path to enable draining all workloads in a cluster, an operation that was being attempted for the first time.\nAn error in the logic led to a misconfiguration that resulted in 100% loss of the services that back gpt-4o free tier, spanning multiple clusters, instead of just impacting a single cluster. This meant there were no backing services configured to answer requests for gpt-4o free tier traffic, in line with the symptoms observed by the triaging engineer.\n\u200c\nThe core bug causing the incident has been fixed.\nFurther hardening is being undertaken to introduce inertia to the process of cluster drain as to avoid the same level of catastrophic loss and to prematurely warn operators before large actions are taken.\nThe systems are also being adapted to better explain specifically what actions will be performed when enacting such large operations.\nAdditionally, the team is making it easier to more quickly undo changes, something that prevented us from reverting the issue more quickly.\n\u200c\nWe know that outages to the ChatGPT service affect our customers. While we came up short here, we are committed to preventing such incidents in the future."", ""Update_Timestamp"": ""Posted 3 months ago. May 29, 2024 - 09:24 PDT""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""Between 11:25AM PDT and 12:26PM PDT today, we saw elevated error rates for free users utilizing the GPT-4o model on ChatGPT. We rolled out a fix, and have observed performance returning to expected levels. This incident is now resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 21, 2024 - 12:48 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We have deployed a fix for the issue, and we are monitoring the results."", ""Update_Timestamp"": ""Posted 3 months ago. May 21, 2024 - 12:30 PDT""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified the issue causing the errors for free users. We are currently in the process of implementing a fix."", ""Update_Timestamp"": ""Posted 3 months ago. May 21, 2024 - 11:50 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating errors for free users utilizing GPT-4o."", ""Update_Timestamp"": ""Posted 3 months ago. May 21, 2024 - 11:40 PDT""}]",This incident affected: ChatGPT.
