Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Haiku sampling errors,https://status.anthropic.com/incidents/dmqg1fbfs0wq,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 29, 2024 - 06:50 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 29, 2024 - 06:45 PDT""}]",This incident affected: api.anthropic.com.
Increase error rates on Opus,https://status.anthropic.com/incidents/mq3nthmx16ly,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 23, 2024 - 07:16 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 23, 2024 - 06:35 PDT""}]",This incident affected: api.anthropic.com.
Opus Partial Outage,https://status.anthropic.com/incidents/fh1r1ypgykk6,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 22, 2024 - 08:45 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""Claude 3 Opus is partially unavailable"", ""Update_Timestamp"": ""Posted 3 months ago. May 22, 2024 - 08:31 PDT""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
Claude 3 Haiku Outage,https://status.anthropic.com/incidents/h70zgz99hzxd,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 3 months ago. May 20, 2024 - 13:58 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 3 months ago. May 20, 2024 - 13:31 PDT""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
Claude 3 Haiku Outage,https://status.anthropic.com/incidents/gkbl04hwljz2,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""Claude 3 Haiku was partially down for 7 minutes"", ""Update_Timestamp"": ""Posted 4 months ago. May 16, 2024 - 15:29 PDT""}]",
Claude Instant 1.2 Elevated Error Rates,https://status.anthropic.com/incidents/m5y2l11f5qjw,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 4 months ago. May 16, 2024 - 09:34 PDT""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 4 months ago. May 16, 2024 - 09:34 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 4 months ago. May 16, 2024 - 09:27 PDT""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
Delays delivering emails,https://status.anthropic.com/incidents/5ycpp6c9901y,#f1c40f,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""As of 5pm Pacific, all new emails should be delivered as expected. Login attempts can now be retried."", ""Update_Timestamp"": ""Posted 4 months ago. May 14, 2024 - 17:27 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We are aware that some of our emails are being significantly delayed, affecting users ability to login. We have resolved the issue and are monitoring as deliverability returns to normal rates."", ""Update_Timestamp"": ""Posted 4 months ago. May 14, 2024 - 15:37 PDT""}]",This incident affected: claude.ai and console.anthropic.com.
Haiku Partial Outage,https://status.anthropic.com/incidents/sr8swn3xvzg4,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 4 months ago. May 06, 2024 - 11:54 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Haiku is returning an elevated rate of errors"", ""Update_Timestamp"": ""Posted 4 months ago. May 06, 2024 - 11:44 PDT""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
Claude Instant 1.2 Partial Outage,https://status.anthropic.com/incidents/0qyp857kns2b,#333333,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 30, 2024 - 17:54 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Claude instant 1.2 was partially brought down by a maintenance operation. The cluster is repairing itself and we're monitoring as the model comes back up."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 30, 2024 - 15:22 PDT""}]",This incident affected: api.anthropic.com.
Opus Partially Down,https://status.anthropic.com/incidents/nx9mszx03jvk,#e67e22,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 30, 2024 - 12:11 PDT""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 4 months ago. Apr 30, 2024 - 12:08 PDT""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""There is a partial out for Claude 3 Opus. A large fraction of requests are returning errors"", ""Update_Timestamp"": ""Posted 4 months ago. Apr 30, 2024 - 11:48 PDT""}]","This incident affected: claude.ai, console.anthropic.com, and api.anthropic.com."
